value,coordinates,summary,flagInfo.hasFlags,parameter.id,parameter.name,parameter.units,parameter.displayName,period.label,period.interval,period.datetimeFrom.utc,period.datetimeFrom.local,period.datetimeTo.utc,period.datetimeTo.local,coverage.expectedCount,coverage.expectedInterval,coverage.observedCount,coverage.observedInterval,coverage.percentComplete,coverage.percentCoverage,coverage.datetimeFrom.utc,coverage.datetimeFrom.local,coverage.datetimeTo.utc,coverage.datetimeTo.local
22.239,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-12T18:00:00Z,2025-11-12T19:00:00+01:00,2025-11-12T19:00:00Z,2025-11-12T20:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-12T18:00:00Z,2025-11-12T19:00:00+01:00,2025-11-12T19:00:00Z,2025-11-12T20:00:00+01:00
20.067,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-12T19:00:00Z,2025-11-12T20:00:00+01:00,2025-11-12T20:00:00Z,2025-11-12T21:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-12T19:00:00Z,2025-11-12T20:00:00+01:00,2025-11-12T20:00:00Z,2025-11-12T21:00:00+01:00
14.196,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-12T20:00:00Z,2025-11-12T21:00:00+01:00,2025-11-12T21:00:00Z,2025-11-12T22:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-12T20:00:00Z,2025-11-12T21:00:00+01:00,2025-11-12T21:00:00Z,2025-11-12T22:00:00+01:00
12.335,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-12T21:00:00Z,2025-11-12T22:00:00+01:00,2025-11-12T22:00:00Z,2025-11-12T23:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-12T21:00:00Z,2025-11-12T22:00:00+01:00,2025-11-12T22:00:00Z,2025-11-12T23:00:00+01:00
15.538,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-12T22:00:00Z,2025-11-12T23:00:00+01:00,2025-11-12T23:00:00Z,2025-11-13T00:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-12T22:00:00Z,2025-11-12T23:00:00+01:00,2025-11-12T23:00:00Z,2025-11-13T00:00:00+01:00
12.302,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-12T23:00:00Z,2025-11-13T00:00:00+01:00,2025-11-13T00:00:00Z,2025-11-13T01:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-12T23:00:00Z,2025-11-13T00:00:00+01:00,2025-11-13T00:00:00Z,2025-11-13T01:00:00+01:00
10.202,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-13T00:00:00Z,2025-11-13T01:00:00+01:00,2025-11-13T01:00:00Z,2025-11-13T02:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-13T00:00:00Z,2025-11-13T01:00:00+01:00,2025-11-13T01:00:00Z,2025-11-13T02:00:00+01:00
7.16,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-13T01:00:00Z,2025-11-13T02:00:00+01:00,2025-11-13T02:00:00Z,2025-11-13T03:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-13T01:00:00Z,2025-11-13T02:00:00+01:00,2025-11-13T02:00:00Z,2025-11-13T03:00:00+01:00
4.338,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-13T02:00:00Z,2025-11-13T03:00:00+01:00,2025-11-13T03:00:00Z,2025-11-13T04:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-13T02:00:00Z,2025-11-13T03:00:00+01:00,2025-11-13T03:00:00Z,2025-11-13T04:00:00+01:00
6.587,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-13T03:00:00Z,2025-11-13T04:00:00+01:00,2025-11-13T04:00:00Z,2025-11-13T05:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-13T03:00:00Z,2025-11-13T04:00:00+01:00,2025-11-13T04:00:00Z,2025-11-13T05:00:00+01:00
7.094,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-13T05:00:00Z,2025-11-13T06:00:00+01:00,2025-11-13T06:00:00Z,2025-11-13T07:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-13T05:00:00Z,2025-11-13T06:00:00+01:00,2025-11-13T06:00:00Z,2025-11-13T07:00:00+01:00
14.994,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-13T06:00:00Z,2025-11-13T07:00:00+01:00,2025-11-13T07:00:00Z,2025-11-13T08:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-13T06:00:00Z,2025-11-13T07:00:00+01:00,2025-11-13T07:00:00Z,2025-11-13T08:00:00+01:00
23.872,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-13T07:00:00Z,2025-11-13T08:00:00+01:00,2025-11-13T08:00:00Z,2025-11-13T09:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-13T07:00:00Z,2025-11-13T08:00:00+01:00,2025-11-13T08:00:00Z,2025-11-13T09:00:00+01:00
30.5,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-13T08:00:00Z,2025-11-13T09:00:00+01:00,2025-11-13T09:00:00Z,2025-11-13T10:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-13T08:00:00Z,2025-11-13T09:00:00+01:00,2025-11-13T09:00:00Z,2025-11-13T10:00:00+01:00
23.319,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-13T09:00:00Z,2025-11-13T10:00:00+01:00,2025-11-13T10:00:00Z,2025-11-13T11:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-13T09:00:00Z,2025-11-13T10:00:00+01:00,2025-11-13T10:00:00Z,2025-11-13T11:00:00+01:00
17.796,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-13T10:00:00Z,2025-11-13T11:00:00+01:00,2025-11-13T11:00:00Z,2025-11-13T12:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-13T10:00:00Z,2025-11-13T11:00:00+01:00,2025-11-13T11:00:00Z,2025-11-13T12:00:00+01:00
19.085,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-13T11:00:00Z,2025-11-13T12:00:00+01:00,2025-11-13T12:00:00Z,2025-11-13T13:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-13T11:00:00Z,2025-11-13T12:00:00+01:00,2025-11-13T12:00:00Z,2025-11-13T13:00:00+01:00
14.283,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-13T12:00:00Z,2025-11-13T13:00:00+01:00,2025-11-13T13:00:00Z,2025-11-13T14:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-13T12:00:00Z,2025-11-13T13:00:00+01:00,2025-11-13T13:00:00Z,2025-11-13T14:00:00+01:00
24.5,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-13T13:00:00Z,2025-11-13T14:00:00+01:00,2025-11-13T14:00:00Z,2025-11-13T15:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-13T13:00:00Z,2025-11-13T14:00:00+01:00,2025-11-13T14:00:00Z,2025-11-13T15:00:00+01:00
16.552,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-13T14:00:00Z,2025-11-13T15:00:00+01:00,2025-11-13T15:00:00Z,2025-11-13T16:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-13T14:00:00Z,2025-11-13T15:00:00+01:00,2025-11-13T15:00:00Z,2025-11-13T16:00:00+01:00
17.214,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-13T15:00:00Z,2025-11-13T16:00:00+01:00,2025-11-13T16:00:00Z,2025-11-13T17:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-13T15:00:00Z,2025-11-13T16:00:00+01:00,2025-11-13T16:00:00Z,2025-11-13T17:00:00+01:00
21.27,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-13T16:00:00Z,2025-11-13T17:00:00+01:00,2025-11-13T17:00:00Z,2025-11-13T18:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-13T16:00:00Z,2025-11-13T17:00:00+01:00,2025-11-13T17:00:00Z,2025-11-13T18:00:00+01:00
17.649,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-13T17:00:00Z,2025-11-13T18:00:00+01:00,2025-11-13T18:00:00Z,2025-11-13T19:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-13T17:00:00Z,2025-11-13T18:00:00+01:00,2025-11-13T18:00:00Z,2025-11-13T19:00:00+01:00
5.682,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-13T18:00:00Z,2025-11-13T19:00:00+01:00,2025-11-13T19:00:00Z,2025-11-13T20:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-13T18:00:00Z,2025-11-13T19:00:00+01:00,2025-11-13T19:00:00Z,2025-11-13T20:00:00+01:00
14.299,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-13T20:00:00Z,2025-11-13T21:00:00+01:00,2025-11-13T21:00:00Z,2025-11-13T22:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-13T20:00:00Z,2025-11-13T21:00:00+01:00,2025-11-13T21:00:00Z,2025-11-13T22:00:00+01:00
15.065,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-13T21:00:00Z,2025-11-13T22:00:00+01:00,2025-11-13T22:00:00Z,2025-11-13T23:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-13T21:00:00Z,2025-11-13T22:00:00+01:00,2025-11-13T22:00:00Z,2025-11-13T23:00:00+01:00
9.063,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-13T23:00:00Z,2025-11-14T00:00:00+01:00,2025-11-14T00:00:00Z,2025-11-14T01:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-13T23:00:00Z,2025-11-14T00:00:00+01:00,2025-11-14T00:00:00Z,2025-11-14T01:00:00+01:00
10.615,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-14T00:00:00Z,2025-11-14T01:00:00+01:00,2025-11-14T01:00:00Z,2025-11-14T02:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-14T00:00:00Z,2025-11-14T01:00:00+01:00,2025-11-14T01:00:00Z,2025-11-14T02:00:00+01:00
15.172,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-14T01:00:00Z,2025-11-14T02:00:00+01:00,2025-11-14T02:00:00Z,2025-11-14T03:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-14T01:00:00Z,2025-11-14T02:00:00+01:00,2025-11-14T02:00:00Z,2025-11-14T03:00:00+01:00
8.719,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-14T04:00:00Z,2025-11-14T05:00:00+01:00,2025-11-14T05:00:00Z,2025-11-14T06:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-14T04:00:00Z,2025-11-14T05:00:00+01:00,2025-11-14T05:00:00Z,2025-11-14T06:00:00+01:00
7.686,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-14T05:00:00Z,2025-11-14T06:00:00+01:00,2025-11-14T06:00:00Z,2025-11-14T07:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-14T05:00:00Z,2025-11-14T06:00:00+01:00,2025-11-14T06:00:00Z,2025-11-14T07:00:00+01:00
17.601,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-14T06:00:00Z,2025-11-14T07:00:00+01:00,2025-11-14T07:00:00Z,2025-11-14T08:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-14T06:00:00Z,2025-11-14T07:00:00+01:00,2025-11-14T07:00:00Z,2025-11-14T08:00:00+01:00
23.003,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-14T07:00:00Z,2025-11-14T08:00:00+01:00,2025-11-14T08:00:00Z,2025-11-14T09:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-14T07:00:00Z,2025-11-14T08:00:00+01:00,2025-11-14T08:00:00Z,2025-11-14T09:00:00+01:00
34.868,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-14T08:00:00Z,2025-11-14T09:00:00+01:00,2025-11-14T09:00:00Z,2025-11-14T10:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-14T08:00:00Z,2025-11-14T09:00:00+01:00,2025-11-14T09:00:00Z,2025-11-14T10:00:00+01:00
35.957,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-14T10:00:00Z,2025-11-14T11:00:00+01:00,2025-11-14T11:00:00Z,2025-11-14T12:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-14T10:00:00Z,2025-11-14T11:00:00+01:00,2025-11-14T11:00:00Z,2025-11-14T12:00:00+01:00
33.978,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-14T11:00:00Z,2025-11-14T12:00:00+01:00,2025-11-14T12:00:00Z,2025-11-14T13:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-14T11:00:00Z,2025-11-14T12:00:00+01:00,2025-11-14T12:00:00Z,2025-11-14T13:00:00+01:00
23.371,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-14T13:00:00Z,2025-11-14T14:00:00+01:00,2025-11-14T14:00:00Z,2025-11-14T15:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-14T13:00:00Z,2025-11-14T14:00:00+01:00,2025-11-14T14:00:00Z,2025-11-14T15:00:00+01:00
36.703,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-14T15:00:00Z,2025-11-14T16:00:00+01:00,2025-11-14T16:00:00Z,2025-11-14T17:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-14T15:00:00Z,2025-11-14T16:00:00+01:00,2025-11-14T16:00:00Z,2025-11-14T17:00:00+01:00
25.88,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-14T16:00:00Z,2025-11-14T17:00:00+01:00,2025-11-14T17:00:00Z,2025-11-14T18:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-14T16:00:00Z,2025-11-14T17:00:00+01:00,2025-11-14T17:00:00Z,2025-11-14T18:00:00+01:00
23.762,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-14T17:00:00Z,2025-11-14T18:00:00+01:00,2025-11-14T18:00:00Z,2025-11-14T19:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-14T17:00:00Z,2025-11-14T18:00:00+01:00,2025-11-14T18:00:00Z,2025-11-14T19:00:00+01:00
22.62,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-14T18:00:00Z,2025-11-14T19:00:00+01:00,2025-11-14T19:00:00Z,2025-11-14T20:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-14T18:00:00Z,2025-11-14T19:00:00+01:00,2025-11-14T19:00:00Z,2025-11-14T20:00:00+01:00
21.319,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-14T20:00:00Z,2025-11-14T21:00:00+01:00,2025-11-14T21:00:00Z,2025-11-14T22:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-14T20:00:00Z,2025-11-14T21:00:00+01:00,2025-11-14T21:00:00Z,2025-11-14T22:00:00+01:00
24.311,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-14T21:00:00Z,2025-11-14T22:00:00+01:00,2025-11-14T22:00:00Z,2025-11-14T23:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-14T21:00:00Z,2025-11-14T22:00:00+01:00,2025-11-14T22:00:00Z,2025-11-14T23:00:00+01:00
26.533,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-14T22:00:00Z,2025-11-14T23:00:00+01:00,2025-11-14T23:00:00Z,2025-11-15T00:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-14T22:00:00Z,2025-11-14T23:00:00+01:00,2025-11-14T23:00:00Z,2025-11-15T00:00:00+01:00
29.394,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-14T23:00:00Z,2025-11-15T00:00:00+01:00,2025-11-15T00:00:00Z,2025-11-15T01:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-14T23:00:00Z,2025-11-15T00:00:00+01:00,2025-11-15T00:00:00Z,2025-11-15T01:00:00+01:00
23.991,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-15T00:00:00Z,2025-11-15T01:00:00+01:00,2025-11-15T01:00:00Z,2025-11-15T02:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-15T00:00:00Z,2025-11-15T01:00:00+01:00,2025-11-15T01:00:00Z,2025-11-15T02:00:00+01:00
23.409,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-15T01:00:00Z,2025-11-15T02:00:00+01:00,2025-11-15T02:00:00Z,2025-11-15T03:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-15T01:00:00Z,2025-11-15T02:00:00+01:00,2025-11-15T02:00:00Z,2025-11-15T03:00:00+01:00
22.707,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-15T02:00:00Z,2025-11-15T03:00:00+01:00,2025-11-15T03:00:00Z,2025-11-15T04:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-15T02:00:00Z,2025-11-15T03:00:00+01:00,2025-11-15T03:00:00Z,2025-11-15T04:00:00+01:00
19.169,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-15T03:00:00Z,2025-11-15T04:00:00+01:00,2025-11-15T04:00:00Z,2025-11-15T05:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-15T03:00:00Z,2025-11-15T04:00:00+01:00,2025-11-15T04:00:00Z,2025-11-15T05:00:00+01:00
16.625,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-15T04:00:00Z,2025-11-15T05:00:00+01:00,2025-11-15T05:00:00Z,2025-11-15T06:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-15T04:00:00Z,2025-11-15T05:00:00+01:00,2025-11-15T05:00:00Z,2025-11-15T06:00:00+01:00
17.021,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-15T06:00:00Z,2025-11-15T07:00:00+01:00,2025-11-15T07:00:00Z,2025-11-15T08:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-15T06:00:00Z,2025-11-15T07:00:00+01:00,2025-11-15T07:00:00Z,2025-11-15T08:00:00+01:00
14.567,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-15T07:00:00Z,2025-11-15T08:00:00+01:00,2025-11-15T08:00:00Z,2025-11-15T09:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-15T07:00:00Z,2025-11-15T08:00:00+01:00,2025-11-15T08:00:00Z,2025-11-15T09:00:00+01:00
9.306,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-15T08:00:00Z,2025-11-15T09:00:00+01:00,2025-11-15T09:00:00Z,2025-11-15T10:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-15T08:00:00Z,2025-11-15T09:00:00+01:00,2025-11-15T09:00:00Z,2025-11-15T10:00:00+01:00
12.451,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-15T09:00:00Z,2025-11-15T10:00:00+01:00,2025-11-15T10:00:00Z,2025-11-15T11:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-15T09:00:00Z,2025-11-15T10:00:00+01:00,2025-11-15T10:00:00Z,2025-11-15T11:00:00+01:00
12.877,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-15T10:00:00Z,2025-11-15T11:00:00+01:00,2025-11-15T11:00:00Z,2025-11-15T12:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-15T10:00:00Z,2025-11-15T11:00:00+01:00,2025-11-15T11:00:00Z,2025-11-15T12:00:00+01:00
21.102,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-15T11:00:00Z,2025-11-15T12:00:00+01:00,2025-11-15T12:00:00Z,2025-11-15T13:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-15T11:00:00Z,2025-11-15T12:00:00+01:00,2025-11-15T12:00:00Z,2025-11-15T13:00:00+01:00
19.387,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-15T12:00:00Z,2025-11-15T13:00:00+01:00,2025-11-15T13:00:00Z,2025-11-15T14:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-15T12:00:00Z,2025-11-15T13:00:00+01:00,2025-11-15T13:00:00Z,2025-11-15T14:00:00+01:00
19.873,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-15T13:00:00Z,2025-11-15T14:00:00+01:00,2025-11-15T14:00:00Z,2025-11-15T15:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-15T13:00:00Z,2025-11-15T14:00:00+01:00,2025-11-15T14:00:00Z,2025-11-15T15:00:00+01:00
17.612,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-15T14:00:00Z,2025-11-15T15:00:00+01:00,2025-11-15T15:00:00Z,2025-11-15T16:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-15T14:00:00Z,2025-11-15T15:00:00+01:00,2025-11-15T15:00:00Z,2025-11-15T16:00:00+01:00
20.232,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-15T15:00:00Z,2025-11-15T16:00:00+01:00,2025-11-15T16:00:00Z,2025-11-15T17:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-15T15:00:00Z,2025-11-15T16:00:00+01:00,2025-11-15T16:00:00Z,2025-11-15T17:00:00+01:00
28.587,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-15T16:00:00Z,2025-11-15T17:00:00+01:00,2025-11-15T17:00:00Z,2025-11-15T18:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-15T16:00:00Z,2025-11-15T17:00:00+01:00,2025-11-15T17:00:00Z,2025-11-15T18:00:00+01:00
24.389,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-15T17:00:00Z,2025-11-15T18:00:00+01:00,2025-11-15T18:00:00Z,2025-11-15T19:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-15T17:00:00Z,2025-11-15T18:00:00+01:00,2025-11-15T18:00:00Z,2025-11-15T19:00:00+01:00
27.077,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-15T18:00:00Z,2025-11-15T19:00:00+01:00,2025-11-15T19:00:00Z,2025-11-15T20:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-15T18:00:00Z,2025-11-15T19:00:00+01:00,2025-11-15T19:00:00Z,2025-11-15T20:00:00+01:00
25.128,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-15T20:00:00Z,2025-11-15T21:00:00+01:00,2025-11-15T21:00:00Z,2025-11-15T22:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-15T20:00:00Z,2025-11-15T21:00:00+01:00,2025-11-15T21:00:00Z,2025-11-15T22:00:00+01:00
28.091,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-15T21:00:00Z,2025-11-15T22:00:00+01:00,2025-11-15T22:00:00Z,2025-11-15T23:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-15T21:00:00Z,2025-11-15T22:00:00+01:00,2025-11-15T22:00:00Z,2025-11-15T23:00:00+01:00
15.003,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-15T22:00:00Z,2025-11-15T23:00:00+01:00,2025-11-15T23:00:00Z,2025-11-16T00:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-15T22:00:00Z,2025-11-15T23:00:00+01:00,2025-11-15T23:00:00Z,2025-11-16T00:00:00+01:00
17.987,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-15T23:00:00Z,2025-11-16T00:00:00+01:00,2025-11-16T00:00:00Z,2025-11-16T01:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-15T23:00:00Z,2025-11-16T00:00:00+01:00,2025-11-16T00:00:00Z,2025-11-16T01:00:00+01:00
22.817,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-16T00:00:00Z,2025-11-16T01:00:00+01:00,2025-11-16T01:00:00Z,2025-11-16T02:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-16T00:00:00Z,2025-11-16T01:00:00+01:00,2025-11-16T01:00:00Z,2025-11-16T02:00:00+01:00
25.265,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-16T02:00:00Z,2025-11-16T03:00:00+01:00,2025-11-16T03:00:00Z,2025-11-16T04:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-16T02:00:00Z,2025-11-16T03:00:00+01:00,2025-11-16T03:00:00Z,2025-11-16T04:00:00+01:00
24.159,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-16T03:00:00Z,2025-11-16T04:00:00+01:00,2025-11-16T04:00:00Z,2025-11-16T05:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-16T03:00:00Z,2025-11-16T04:00:00+01:00,2025-11-16T04:00:00Z,2025-11-16T05:00:00+01:00
23.833,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-16T09:00:00Z,2025-11-16T10:00:00+01:00,2025-11-16T10:00:00Z,2025-11-16T11:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-16T09:00:00Z,2025-11-16T10:00:00+01:00,2025-11-16T10:00:00Z,2025-11-16T11:00:00+01:00
18.348,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-16T10:00:00Z,2025-11-16T11:00:00+01:00,2025-11-16T11:00:00Z,2025-11-16T12:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-16T10:00:00Z,2025-11-16T11:00:00+01:00,2025-11-16T11:00:00Z,2025-11-16T12:00:00+01:00
11.292,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-16T11:00:00Z,2025-11-16T12:00:00+01:00,2025-11-16T12:00:00Z,2025-11-16T13:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-16T11:00:00Z,2025-11-16T12:00:00+01:00,2025-11-16T12:00:00Z,2025-11-16T13:00:00+01:00
11.527,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-16T13:00:00Z,2025-11-16T14:00:00+01:00,2025-11-16T14:00:00Z,2025-11-16T15:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-16T13:00:00Z,2025-11-16T14:00:00+01:00,2025-11-16T14:00:00Z,2025-11-16T15:00:00+01:00
13.315,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-16T20:00:00Z,2025-11-16T21:00:00+01:00,2025-11-16T21:00:00Z,2025-11-16T22:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-16T20:00:00Z,2025-11-16T21:00:00+01:00,2025-11-16T21:00:00Z,2025-11-16T22:00:00+01:00
